번호,시도명,시군구명,관리기관명,지정번호,보호수지정일자,보호수해지일자,보호수유형명,과명,학명,나무종류,그루수,나무나이,나무높이,가슴높이둘레,나무갓지름,품격명,지목명,지적,소유자구분,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,데이터기준일자
1,경기도,여주시,경기도 여주시청,여주-1,1982-10-15,,노목,,,느티나무,1,300,18,208,,마을나무,하천,,,,경기도 여주시 우만동 233,37.285344,127.033899,2020-07-17
2,경기도,여주시,경기도 여주시청,여주-2,1982-10-15,,노목,,,은행나무,1,200,20,116,,마을나무,대,,,,경기도 여주시 교동 261-1,37.289136,127.628319,2020-07-17
3,경기도,여주시,경기도 여주시청,여주-4,1982-10-15,,노목,,,향나무,1,100,6,44,,마을나무,대,,,,경기도 여주시 교동 261-1,37.289136,127.628319,2020-07-17
4,경기도,여주시,경기도 여주시청,여주-5,1982-10-15,,노목,,,향나무,1,150,6,33,,마을나무,대,,,,경기도 여주시 교동 261-1,37.289136,127.628319,2020-07-17
5,경기도,여주시,경기도 여주시청,여주-6,1982-10-15,,노목,,,향나무,1,250,7,100,,마을나무,도로,,,,경기도 여주시 멱곡동 492,37.248255,127.662394,2020-07-17
6,경기도,여주시,경기도 여주시청,여주-7,1982-10-15,,노목,,,느티나무,1,170,15,116,,마을나무,도로,,,,경기도 여주시 멱곡동 492,37.248255,127.662394,2020-07-17
7,경기도,여주시,경기도 여주시청,여주-8,1982-10-15,,노목,,,은행나무,1,100,13,90,,마을나무,대,,,,경기도 여주시 홍문동 4,37.285305,127.638341,2020-07-17
8,경기도,여주시,경기도 여주시청,여주-9,1982-10-15,,노목,,,은행나무,1,700,25,226,,마을나무,전,,,,경기도 여주시 점동면 뇌곡리 42-2,37.155779,127.666686,2020-07-17
9,경기도,여주시,경기도 여주시청,여주-10,1982-10-15,,노목,,,느티나무,1,430,13,118,,마을나무,유지,,,,경기도 여주시 점동면 덕평리 84,37.182906,127.660498,2020-07-17
10,경기도,여주시,경기도 여주시청,여주-11,1982-10-15,,노목,,,은행나무,1,150,22,90,,마을나무,잡종지,,,,경기도 여주시 점동면 덕평리 29-1,37.186396,127.659109,2020-07-17
11,경기도,여주시,경기도 여주시청,여주-12,1982-10-15,,노목,,,느티나무,1,250,15,114,,마을나무,도로,,,,경기도 여주시 점동면 장안리 699,37.203768,127.712408,2020-07-17
12,경기도,여주시,경기도 여주시청,여주-13,1982-10-15,,노목,,,느티나무,1,120,20,152,,마을나무,대,,,,경기도 여주시 점동면 처리 188-7,37.225644,127.675853,2020-07-17
13,경기도,여주시,경기도 여주시청,여주-15,1982-10-15,,노목,,,느티나무,1,350,15,130,,마을나무,대,,,,경기도 여주시 가남읍 금당리 310,37.207109,127.614699,2020-07-17
14,경기도,여주시,경기도 여주시청,여주-16,1982-10-15,,노목,,,은행나무,1,250,17,183,,마을나무,전,,,,경기도 여주시 가남읍 대신리 21-2,37.194754,127.535816,2020-07-17
15,경기도,여주시,경기도 여주시청,여주-17,1982-10-15,,노목,,,느티나무,1,200,15,110,,마을나무,전,,,,경기도 여주시 능서면 용은리 404-8,37.284856,127.544715,2020-07-17
16,경기도,여주시,경기도 여주시청,여주-18,1982-10-15,,노목,,,향나무,1,160,7,50,,마을나무,대,,,,경기도 여주시 능서면 번도리 323,37.306275,127.577152,2020-07-17
17,경기도,여주시,경기도 여주시청,여주-19,1982-10-15,,노목,,,향나무,1,160,8,40,,마을나무,하천,,,,경기도 여주시 능서면 구양리 586,37.319316,127.573161,2020-07-17
18,경기도,여주시,경기도 여주시청,여주-20,1982-10-15,,노목,,,오리나무,3,150,17,88,,마을나무,답,,,,경기도 여주시 능서면 용은리 74-6,37.292706,127.555041,2020-07-17
19,경기도,여주시,경기도 여주시청,여주-21,1982-10-15,,노목,,,은행나무,1,300,25,152,,마을나무,전,,,,경기도 여주시 흥천면 신근리 403,37.311045,127.560501,2020-07-17
20,경기도,여주시,경기도 여주시청,여주-22,1982-10-15,,노목,,,향나무,1,300,7,70,,마을나무,임야,,,,경기도 여주시 흥천면 상백리 166,37.363709,127.553916,2020-07-17
21,경기도,여주시,경기도 여주시청,여주-23,1982-10-15,,노목,,,향나무,1,150,13,65,,마을나무,전,,,,경기도 여주시 흥천면 상대리 74-1,37.347978,127.515251,2020-07-17
22,경기도,여주시,경기도 여주시청,여주-24,1982-10-15,,노목,,,은행나무,1,200,20,230,,마을나무,임야,,,,경기도 여주시 흥천면 상대리 101,37.342208,127.516036,2020-07-17
23,경기도,여주시,경기도 여주시청,여주-25,1982-10-15,,노목,,,은행나무,1,200,20,192,,마을나무,대,,,,경기도 여주시 흥천면 계신리 192,37.373761,127.540274,2020-07-17
24,경기도,여주시,경기도 여주시청,여주-26,1982-10-15,,노목,,,느티나무,1,350,16,112,,마을나무,전,,,,경기도 여주시 흥천면 귀백리 136,37.342461,127.556114,2020-07-17
25,경기도,여주시,경기도 여주시청,여주-27,1982-10-15,,노목,,,느티나무,1,120,15,160,,마을나무,도로,,,,경기도 여주시 흥천면 귀백리 267,37.343564,127.549001,2020-07-17
26,경기도,여주시,경기도 여주시청,여주-28,1982-10-15,,노목,,,향나무,1,300,6,102,,마을나무,전,,,,경기도 여주시 흥천면 대당리 143,37.324153,127.542479,2020-07-17
27,경기도,여주시,경기도 여주시청,여주-29,1982-10-15,,노목,,,은행나무,1,200,18,114,,마을나무,전,,,,경기도 여주시 흥천면 율극리 22-3,37.334655,127.570617,2020-07-17
28,경기도,여주시,경기도 여주시청,여주-31,1982-10-15,,노목,,,은행나무,1,100,20,116,,마을나무,임야,,,,경기도 여주시 흥천면 외사리 38-4,37.353704,127.497913,2020-07-17
29,경기도,여주시,경기도 여주시청,여주-33,1982-10-15,,노목,,,은행나무,1,500,20,190,,마을나무,하천,,,,경기도 여주시 금사면 이포리 380,37.401639,127.537001,2020-07-17
30,경기도,여주시,경기도 여주시청,여주-34,1982-10-15,,노목,,,느티나무,1,500,15,160,,마을나무,대,,,,경기도 여주시 금사면 이포리 281-2,37.391563,127.533749,2020-07-17
31,경기도,여주시,경기도 여주시청,여주-35,1982-10-15,,노목,,,느티나무,1,300,18,183,,마을나무,임야,,,,경기도 여주시 금사면 이포리 155-14,37.395963,127.536091,2020-07-17
32,경기도,여주시,경기도 여주시청,여주-39,1982-10-15,,노목,,,느티나무,1,300,20,152,,마을나무,구거,,,,경기도 여주시 금사면 도곡리 615,37.379967,127.506196,2020-07-17
33,경기도,여주시,경기도 여주시청,여주-14,1982-10-15,,노목,,,느티나무,1,320,25,185,,마을나무,전,,,,경기도 여주시 가남읍 안금리 160,37.222799,127.602889,2020-07-17
34,경기도,여주시,경기도 여주시청,여주-40,1982-10-15,,노목,,,느티나무,1,300,22,168,,마을나무,대,,,,경기도 여주시 금사면 도곡리 183-12,37.378529,127.506513,2020-07-17
35,경기도,여주시,경기도 여주시청,여주-41,1982-10-15,,노목,,,물푸레나무,1,150,14,87,,마을나무,임야,,,,경기도 여주시 금사면 궁리 289,37.383371,127.519378,2020-07-17
36,경기도,여주시,경기도 여주시청,여주-42,1982-10-15,,노목,,,느티나무,1,100,15,105,,마을나무,대,,,,경기도 여주시 금사면 주록리 44-1,37.376213,127.472991,2020-07-17
37,경기도,여주시,경기도 여주시청,여주-44,1982-10-15,,노목,,,느티나무,1,400,18,200,,마을나무,구거,,,,경기도 여주시 산북면 백자리 345-1,37.415598,127.456229,2020-07-17
38,경기도,여주시,경기도 여주시청,여주-45,1982-10-15,,노목,,,느티나무,1,400,18,181,,마을나무,대,,,,경기도 여주시 산북면 백자리 38,37.416851,127.459595,2020-07-17
39,경기도,여주시,경기도 여주시청,여주-46,1982-10-15,,노목,,,느티나무,1,400,20,252,,마을나무,도로,,,,경기도 여주시 산북면 명품리 706,37.407803,127.442963,2020-07-17
40,경기도,여주시,경기도 여주시청,여주-47,1982-10-15,,노목,,,느티나무,1,400,16,230,,마을나무,대,,,,경기도 여주시 산북면 주어리 525-2,37.415703,127.424149,2020-07-17
41,경기도,여주시,경기도 여주시청,여주-48,1982-10-15,,노목,,,느티나무,1,350,18,208,,마을나무,대,,,,경기도 여주시 산북면 주어리 525-2,37.415703,127.424149,2020-07-17
42,경기도,여주시,경기도 여주시청,여주-49,1982-10-15,,노목,,,느티나무,1,200,20,140,,마을나무,구거,,,,경기도 여주시 대신면 하림리 477-1,37.357211,127.638411,2020-07-17
43,경기도,여주시,경기도 여주시청,여주-51,1982-10-15,,노목,,,느티나무,1,250,17,224,,마을나무,임야,,,,경기도 여주시 대신면 당남리 45-1,37.393021,127.565252,2020-07-17
44,경기도,여주시,경기도 여주시청,여주-52,1982-10-15,,노목,,,향나무,1,200,11,59,,마을나무,답,,,,경기도 여주시 대신면 후포리 799,37.352102,127.605844,2020-07-17
45,경기도,여주시,경기도 여주시청,여주-53,1982-10-15,,노목,,,느티나무,1,100,10,98,,마을나무,전,,,,경기도 여주시 대신면 가산리 521,37.339239,127.611841,2020-07-17
46,경기도,여주시,경기도 여주시청,여주-54,1982-10-15,,노목,,,느티나무,1,120,18,152,,마을나무,대,,,,경기도 여주시 대신면 윤촌리 153,37.413484,127.607884,2020-07-17
47,경기도,여주시,경기도 여주시청,여주-55,1982-10-15,,노목,,,느티나무,1,150,18,102,,마을나무,임야,,,,경기도 여주시 대신면 송촌리 35,37.404821,127.574857,2020-07-17
48,경기도,여주시,경기도 여주시청,여주-56,1982-10-15,,노목,,,느티나무,1,180,12,158,,마을나무,답,,,,경기도 여주시 대신면 율촌리 37-1,37.388194,127.584132,2020-07-17
49,경기도,여주시,경기도 여주시청,여주-57,1982-10-15,,노목,,,은행나무,1,120,13,118,,마을나무,임야,,,,경기도 여주시 대신면 율촌리 25-5,37.389626,127.585102,2020-07-17
50,경기도,여주시,경기도 여주시청,여주-58,1982-10-15,,노목,,,향나무,1,200,12,104,,마을나무,임야,,,,경기도 여주시 대신면 초현리 12-15,37.374516,127.595642,2020-07-17
51,경기도,여주시,경기도 여주시청,여주-59,1982-10-15,,노목,,,향나무,1,200,12,62,,마을나무,임야,,,,경기도 여주시 대신면 초현리 12-15,37.374516,127.595642,2020-07-17
52,경기도,여주시,경기도 여주시청,여주-60,1982-10-15,,노목,,,향나무,1,150,10,62,,마을나무,임야,,,,경기도 여주시 대신면 초현리 12-15,37.374516,127.595642,2020-07-17
53,경기도,여주시,경기도 여주시청,여주-61,1982-10-15,,노목,,,향나무,1,150,9,68,,마을나무,임야,,,,경기도 여주시 대신면 초현리 12-15,37.374516,127.595642,2020-07-17
54,경기도,여주시,경기도 여주시청,여주-62,1982-10-15,,노목,,,향나무,1,150,8,68,,마을나무,임야,,,,경기도 여주시 대신면 초현리 12-15,37.374516,127.595642,2020-07-17
55,경기도,여주시,경기도 여주시청,여주-32,1982-10-15,,노목,,,느티나무,1,500,18,170,,마을나무,전,,,,경기도 여주시 금사면 외평리 197-2,37.412989,127.529847,2020-07-17
56,경기도,여주시,경기도 여주시청,여주-63,1982-10-15,,노목,,,향나무,1,150,7,62,,마을나무,임야,,,,경기도 여주시 대신면 초현리 12-15,37.374516,127.595642,2020-07-17
57,경기도,여주시,경기도 여주시청,여주-65,1982-10-15,,노목,,,향나무,1,500,7,58,,마을나무,종교용지,,,,경기도 여주시 천송동 282,37.297537,127.661531,2020-07-17
58,경기도,여주시,경기도 여주시청,여주-66,1982-10-15,,노목,,,은행나무,1,600,22,170,,마을나무,종교용지,,,,경기도 여주시 천송동 282,37.297537,127.661531,2020-07-17
59,경기도,여주시,경기도 여주시청,여주-67,1982-10-15,,노목,,,향나무,1,120,7,52,,마을나무,대,,,,경기도 여주시 천송동 510-37,37.301251,127.653692,2020-07-17
60,경기도,여주시,경기도 여주시청,여주-68,1982-10-15,,노목,,,느티나무,1,300,9,140,,마을나무,대,,,,경기도 여주시 북내면 지내리 247,37.313948,127.693576,2020-07-17
61,경기도,여주시,경기도 여주시청,여주-69,1982-10-15,,노목,,,은행나무,1,300,23,166,,마을나무,전,,,,경기도 여주시 북내면 중암리 177,37.356052,127.720102,2020-07-17
62,경기도,여주시,경기도 여주시청,여주-70,1982-10-15,,노목,,,느티나무,1,400,13,130,,마을나무,대,,,,경기도 여주시 북내면 상교리 138-1,37.393403,127.655927,2020-07-17
63,경기도,여주시,경기도 여주시청,여주-71,1982-10-15,,노목,,,느티나무,1,200,17,100,,마을나무,구거,,,,경기도 여주시 북내면 내룡리 231-4,37.379085,127.675653,2020-07-17
64,경기도,여주시,경기도 여주시청,여주-72,1982-10-15,,노목,,,느티나무,1,200,13,126,,마을나무,구거,,,,경기도 여주시 북내면 내룡리 246-5,37.378424,127.675769,2020-07-17
65,경기도,여주시,경기도 여주시청,여주-73,1982-10-15,,노목,,,느티나무,1,250,20,160,,마을나무,답,,,,경기도 여주시 북내면 가정리 127-1,37.299084,127.692875,2020-07-17
66,경기도,여주시,경기도 여주시청,여주-74,1982-10-15,,노목,,,향나무,1,150,8,150,,마을나무,전,,,,경기도 여주시 현암동 320-2,36.593942,127.391841,2020-07-17
67,경기도,여주시,경기도 여주시청,여주-75,1982-10-15,,노목,,,은행나무,1,500,22,370,,마을나무,대,,,,경기도 여주시 강천면 간매리 458-2,37.268171,127.717717,2020-07-17
68,경기도,여주시,경기도 여주시청,여주-76,1982-10-15,,노목,,,느티나무,1,200,18,134,,마을나무,도로,,,,경기도 여주시 강천면 간매리 426,37.271026,127.718007,2020-07-17
69,경기도,여주시,경기도 여주시청,여주-77,1982-10-15,,노목,,,느티나무,1,200,17,186,,마을나무,대,,,,경기도 여주시 강천면 간매리 420,37.272364,127.716048,2020-07-17
70,경기도,여주시,경기도 여주시청,여주-78,2012-12-27,,노목,,,아까시나무,1,112,16,140,,마을나무,학교용지,,,,경기도 여주시 대신면 천남리 649-1,37.345598,127.631267,2020-07-17
71,경기도,여주시,경기도 여주시청,여주-79,2016-12-23,,노목,,,느티나무,1,250,18,120,,마을나무,도로,,,,경기도 여주시 대신면 상구리 458,37.3723764,127.640911,2020-07-17
72,경기도,오산시,경기도 오산시청,경기-오산-1,1982-10-15,,노목+거목,,,팽나무,1,477,20,2.5,,시·군나무,임야,,,경기도 오산시 서동로7,,37.140734,127.039503,2023-11-29
73,경기도,오산시,경기도 오산시청,경기-오산-2,1995-05-23,,노목+거목,,,느티나무,1,337,18,4,,시·군나무,전,,,경기도 오산시 큰말길21,,37.186761,127.034441,2023-11-29
74,경기도,오산시,경기도 오산시청,경기-오산-3,1982-10-15,,노목+거목,,,은행나무,1,310,20,4.8,,시·군나무,종교용지,,,경기도 오산시 매홀로3,,37.159223,127.062606,2023-11-29
75,경기도,오산시,경기도 오산시청,경기-오산-4,1982-10-15,,노목+거목,,,은행나무,1,196,18,4.5,,시·군나무,대,,,경기도 오산시 서랑로105번길29-3,,37.174137,127.007257,2023-11-29
76,경기도,김포시,김포시,경기-김포-46,1982-10-15,,노목,,,느티나무,1,420,20,3.5,,시·군나무,임야,,개인,김포시 하성면 석탄리 269-9,,35.000000,129.000000,2020-12-18
77,경기도,김포시,김포시,경기-김포-47,1982-10-15,,노목,,,은행나무,1,220,18,5,,시·군나무,임야,,개인,김포시 하성면 석탄리 산48,,35.000000,129.000000,2020-12-18
78,경기도,김포시,김포시,경기-김포-48,1982-10-15,,노목,,,은행나무,1,570,17,3.2,,시·군나무,임야,,개인,김포시 하성면 마조리 산13,,35.000000,129.000000,2020-12-18
79,경기도,김포시,김포시,경기-김포-49,1982-10-15,,노목,,,회화나무,1,300,9,2,,시·군나무,임야,,개인,김포시 하성면 마곡리 168-1,,35.000000,129.000000,2020-12-18
80,경기도,김포시,김포시,경기-김포-50,1982-10-15,,노목,,,느티나무,1,330,12,1.6,,시·군나무,임야,,개인,김포시 하성면 마곡리 147,,35.000000,129.000000,2020-12-18
81,경기도,김포시,김포시,경기-김포-51,1982-10-15,,노목,,,향나무,1,120,9,3.6,,시·군나무,임야,,개인,김포시 하성면 마곡리 530-2,,35.000000,129.000000,2020-12-18
82,경기도,김포시,김포시,경기-김포-52,1982-10-15,,노목,,,느티나무,1,320,22,5.3,,시·군나무,임야,,개인,김포시 하성면 봉성리 197-2,,35.000000,129.000000,2020-12-18
83,경기도,김포시,김포시,경기-김포-53,1982-10-15,,노목,,,느티나무,1,320,23,1.8,,시·군나무,임야,,개인,김포시 하성면 봉성리 산15,,35.000000,129.000000,2020-12-18
84,경기도,김포시,김포시,경기-김포-54,1982-10-15,,노목,,,갈참나무,1,150,18,4,,시·군나무,임야,,개인,김포시 하성면 시암리 201,,35.000000,129.000000,2020-12-18
85,경기도,김포시,김포시,경기-김포-55,1982-10-15,,노목,,,은행나무,1,350,20,4.5,,시·군나무,임야,,개인,김포시 고촌읍 신곡리 135,,35.000000,129.000000,2020-12-18
86,경기도,김포시,김포시,경기-김포-56,1982-10-15,,노목,,,은행나무,1,320,21,3.3,,시·군나무,임야,,개인,김포시 고촌읍 전호리 31-19,,35.000000,129.000000,2020-12-18
87,경기도,김포시,김포시,경기-김포-57,1982-10-15,,노목,,,은행나무,1,100,9,2.4,,시·군나무,임야,,개인,김포시 고촌읍 태리 36-1,,35.000000,129.000000,2020-12-18
88,경기도,김포시,김포시,경기-김포-59,1982-10-15,,노목,,,향나무,1,200,7,3,,시·군나무,임야,,개인,김포시 마산동 621-12,,35.000000,129.000000,2020-12-18
89,경기도,김포시,김포시,경기-김포-60,1994-05-12,,노목,,,느티나무,1,120,15,4.2,,시·군나무,임야,,개인,김포시 마산동 618-2,,35.000000,129.000000,2020-12-18
90,경기도,김포시,김포시,경기-김포-61,1982-10-15,,노목,,,느티나무,1,150,18,2,,시·군나무,임야,,개인,김포시 양촌읍 누산리 635-1,,35.000000,129.000000,2020-12-18
91,경기도,김포시,김포시,경기-김포-62,1982-10-15,,노목,,,상수리나무,1,100,16,2.5,,시·군나무,임야,,개인,김포시 양촌읍 흥신리 251-6,,35.000000,129.000000,2020-12-18
92,경기도,김포시,김포시,경기-김포-65,1982-10-15,,노목,,,느티나무,1,100,18,4.2,,시·군나무,임야,,개인,김포시 통진읍 귀전리 211-4,,35.000000,129.000000,2020-12-18
93,경기도,김포시,김포시,경기-김포-66,1982-10-15,,노목,,,회화나무,1,250,15,2.6,,시·군나무,임야,,개인,김포시 통진읍 도사리 245-3,,35.000000,129.000000,2020-12-18
94,경기도,김포시,김포시,경기-김포-68,1982-10-15,,노목,,,느티나무,1,100,15,2.6,,시·군나무,임야,,개인,김포시 통진읍 도사리 472-2,,35.000000,129.000000,2020-12-18
95,경기도,김포시,김포시,경기-김포-69,1982-10-15,,노목,,,은행나무,1,100,15,1.5,,시·군나무,임야,,개인,김포시 통진읍 마송리 571-1,,35.000000,129.000000,2020-12-18
96,경기도,김포시,김포시,경기-김포-70,1982-10-15,,노목,,,물푸레나무,1,150,7,3,,시·군나무,임야,,개인,김포시 통진읍 마송리 504,,35.000000,129.000000,2020-12-18
97,경기도,김포시,김포시,경기-김포-72,1982-10-15,,노목,,,느티나무,1,150,22,3,,시·군나무,임야,,개인,김포시 통진읍 고정리 115,,35.000000,129.000000,2020-12-18
98,경기도,김포시,김포시,경기-김포-74,2000-01-01,,노목,,,느티나무,1,350,16,5.6,,시·군나무,임야,,개인,김포시 대곶면 대벽리 17-18,,35.000000,129.000000,2020-12-18
99,경기도,김포시,김포시,경기-김포-75,2004-05-20,,노목,,,향나무,1,317,10,4.1,,시·군나무,임야,,개인,김포시 고촌읍 신곡리 산83-1,,35.000000,129.000000,2020-12-18
100,경기도,김포시,김포시,경기-김포-76,2009-10-23,,노목,,,느티나무,1,500,10.2,1.2,,시·군나무,임야,,개인,김포시 감정동 산56-1,,35.000000,129.000000,2020-12-18
101,경기도,김포시,김포시,경기-김포-77,2014-03-18,,노목,,,느티나무,1,300,16,3.2,,시·군나무,임야,,개인,김포시 대곶면 약암리 42,,35.000000,129.000000,2020-12-18
102,경기도,의왕시,의왕시장,의왕-1,1982-10-15,,노목,콩과,Styphnolobium japonicum,회화나무,1,562,16,4.65,,도나무,대,,,경기도 의왕시 도룡마을길 56,월암동 176 번지,37.307377,126.962139,2024-07-31
103,경기도,의왕시,의왕시장,의왕-2,1982-10-15,,노목,느릅나무과,Sawleaf zelkova,느티나무,1,362,20,4.75,,시·군나무,잡종지,,,경기도 의왕시 철도박물관로 176,월암동 496-1 번지,37.313893,126.957185,2024-07-31
104,경기도,양평군,양평군청,양평-1,1982-05-12,,노목,은행나무과,Ginkgo biloba L.,은행,1,500,17,76,,도나무,임야,,개인,,경기도 양평군 양평읍 창대리 224-2,37.47183547,127.5043956,2024-01-22
105,경기도,양평군,양평군청,양평-2,1982-05-12,,노목,은행나무과,Ginkgo biloba L.,은행,1,500,21,39,,도나무,대,,개인,경기도 양평군 양평읍 봉성길 61-2,경기도 양평군 양평읍 봉성리 297,37.47740095,127.5429896,2024-01-22
106,경기도,양평군,양평군청,양평-3,1982-05-12,,노목,은행나무과,Ginkgo biloba L.,은행,1,400,28,51,,시·군나무,대,,개인,,경기도 양평군 양평읍 도곡리 297-6,37.48282982,127.5307557,2024-01-22
107,경기도,양평군,양평군청,양평-5,1982-05-12,,노목,느릅나무과,Zelkova serrata (Thunb.) Makino,느티,3,150,16,28,,마을나무,임야,,개인,,경기도 양평군 양평읍 백안리 54,37.50530202,127.5222509,2024-01-22
108,경기도,양평군,양평군청,양평-8,1982-05-12,,노목,느릅나무과,Zelkova serrata (Thunb.) Makino,느티,1,550,12,29,,도나무,도로,,공공,,경기도 양평군 강하면 운심리 553,37.49810764,127.4109262,2024-01-22
109,경기도,양평군,양평군청,양평-10,1982-05-12,,노목,느릅나무과,Zelkova serrata (Thunb.) Makino,느티,1,310,18,59,,시·군나무,대,,개인,,경기도 양평군 강하면 왕창리 493,37.4789933,127.396272,2024-01-22
110,경기도,양평군,양평군청,양평-11,1982-05-12,,노목,은행나무과,Ginkgo biloba L.,은행,1,350,19,35,,시·군나무,대,,개인,경기도 양평군 강상면 당골길 77-11,경기도 양평군 강상면 신화리 292,37.47090344,127.4750966,2024-01-22
111,경기도,양평군,양평군청,양평-12,1982-05-12,,노목,느릅나무과,Zelkova serrata (Thunb.) Makino,느티,1,400,15,42,,시·군나무,임야,,개인,,경기도 양평군 강상면 교평리 18-3,37.46619847,127.4928961,2024-01-22
112,경기도,양평군,양평군청,양평-13,1982-05-12,,노목,은행나무과,Ginkgo biloba L.,은행,1,570,28,80,,도나무,전,,개인,,경기도 양평군 양서면 목왕리 622-4,37.5554833,127.3635485,2024-01-22
113,경기도,양평군,양평군청,양평-14,1982-05-12,,노목,느릅나무과,Zelkova serrata (Thunb.) Makino,느티,1,600,23,34,,도나무,임야,,개인,,경기도 양평군 양서면 청계리 366-2,37.53327251,127.4058455,2024-01-22
114,경기도,양평군,양평군청,양평-14,1982-05-12,,노목,느릅나무과,Zelkova serrata (Thunb.) Makino,느티,1,600,17,34,,도나무,임야,,개인,,경기도 양평군 양서면 청계리 366-2,37.53327251,127.4058455,2024-01-22
115,경기도,양평군,양평군청,양평-14,1982-05-12,,노목,느릅나무과,Zelkova serrata (Thunb.) Makino,느티,1,600,17,34,,도나무,임야,,개인,,경기도 양평군 양서면 청계리 366-2,37.53327251,127.4058455,2024-01-22
116,경기도,양평군,양평군청,양평-14,1982-05-12,,노목,느릅나무과,Zelkova serrata (Thunb.) Makino,느티,1,600,17,34,,도나무,임야,,개인,,경기도 양평군 양서면 청계리 366-2,37.53327251,127.4058455,2024-01-22
117,경기도,양평군,양평군청,양평-14,1982-05-12,,노목,느릅나무과,Zelkova serrata (Thunb.) Makino,느티,1,600,17,34,,도나무,임야,,개인,,경기도 양평군 양서면 청계리 366-2,37.53327251,127.4058455,2024-01-22
118,경기도,양평군,양평군청,양평-14,1982-05-12,,노목,느릅나무과,Zelkova serrata (Thunb.) Makino,느티,1,600,17,34,,도나무,임야,,개인,,경기도 양평군 양서면 청계리 366-2,37.53327251,127.4058455,2024-01-22
119,경기도,양평군,양평군청,양평-15,1982-05-12,,노목,느릅나무과,Zelkova serrata (Thunb.) Makino,느티,1,500,15,47,,도나무,임야,,개인,,경기도 양평군 양서면 증동리 37,37.54229615,127.4250958,2024-01-22
120,경기도,양평군,양평군청,양평-16,1982-05-12,,노목,느릅나무과,Zelkova serrata (Thunb.) Makino,느티,1,400,26,48,,시·군나무,하천,,공공,,경기도 양평군 양서면 양수리 698-2,37.53348765,127.3171917,2024-01-22
121,경기도,양평군,양평군청,양평-16,1982-05-12,,노목,느릅나무과,Zelkova serrata (Thunb.) Makino,느티,1,400,26,48,,시·군나무,하천,,공공,,경기도 양평군 양서면 양수리 698-2,37.53348765,127.3171917,2024-01-22
122,경기도,양평군,양평군청,양평-16,1982-05-12,,노목,느릅나무과,Zelkova serrata (Thunb.) Makino,느티,1,400,26,48,,시·군나무,하천,,공공,,경기도 양평군 양서면 양수리 698-2,37.53348765,127.3171917,2024-01-22
123,경기도,양평군,양평군청,양평-17,1982-05-12,,노목,은행나무과,Ginkgo biloba L.,은행,1,400,24,70,,시·군나무,하천,,공공,,경기도 양평군 양서면 양수리 402-1,37.55256863,127.321244,2024-01-22
124,경기도,양평군,양평군청,양평-18,1982-05-12,,노목,느릅나무과,Zelkova serrata (Thunb.) Makino,느티,1,150,19,30,,마을나무,대,,개인,경기도 양평군 양서면 대심상심길 133,경기도 양평군 양서면 대심리 54-2,37.50239654,127.4061403,2024-01-22
125,경기도,양평군,양평군청,양평-19,1982-05-12,,노목,은행나무과,Ginkgo biloba L.,은행,1,500,25,44,,도나무,대,,개인,,경기도 양평군 양동면 삼산리 897,37.39667358,127.7749121,2024-01-22
126,경기도,양평군,양평군청,양평-20,1982-05-12,,노목,은행나무과,Ginkgo biloba L.,은행,1,700,12,63,,도나무,대,,개인,,경기도 양평군 양동면 쌍학리 564-2,37.41409019,127.7444618,2024-01-22
127,경기도,양평군,양평군청,양평-22,1982-05-12,,노목,은행나무과,Ginkgo biloba L.,은행,1,300,17,57,,시·군나무,묘지,,개인,,경기도 양평군 지평면 지평리 744,37.46528025,127.6350533,2024-01-22
128,경기도,양평군,양평군청,양평-23,1982-05-12,,노목,느릅나무과,Zelkova serrata (Thunb.) Makino,느티,1,300,15,43,,시·군나무,대,,개인,경기도 양평군 지평면 광양마을길 80-11,경기도 양평군 지평면 옥현리 337,37.44968003,127.6328218,2024-01-22
129,경기도,양평군,양평군청,양평-24,1982-05-12,,노목,느릅나무과,Zelkova serrata (Thunb.) Makino,느티,1,400,31,55,,시·군나무,대,,개인,,경기도 양평군 지평면 일신리 1352,37.43578226,127.6863824,2024-01-22
130,경기도,의왕시,의왕시장,의왕-4,1982-10-15,,노목,은행나무과,Ginkgo biloba,은행나무,1,142,20,4.65,,마을나무,대,,,경기도 의왕시 왕곡로 200,왕곡동 20-6 번지,37.34606,126.99684,2024-07-31
131,경기도,의왕시,의왕시장,의왕-5,1993-04-08,,노목,콩과,Styphnolobium japonicum,회화나무,1,531,14,4.10,,마을나무,대,,,경기도 의왕시 왕림길 45,왕곡동 184-1 번지,37.346386,126.988238,2024-07-31
132,경기도,의왕시,의왕시장,의왕-6,1982-10-15,,노목,느릅나무과,Sawleaf zelkova,느티나무,1,462,24,5.80,,시·군나무,전,,,경기도 의왕시 전주남이4길 14,오전동 365-2 번지,37.351475,126.976846,2024-07-31
133,경기도,의왕시,의왕시장,의왕-7,1982-10-15,,노목,느릅나무과,Sawleaf zelkova,느티나무,1,362,16,3.35,,시·군나무,대,,,경기도 의왕시 찬우물3길 23,오전동 288-1 번지,37.353914,126.973564,2024-07-31
134,경기도,의왕시,의왕시장,의왕-8,1982-10-15,,노목,느릅나무과,Sawleaf zelkova,느티나무,1,422,14,3.85,,시·군나무,대,,,경기도 의왕시 벌모루길 5,포일동 243-14 번지,37.392761,126.988303,2024-07-31
